IdProducto,NombreProducto,Fecha de Compra,Precio,Año,Mes,DiaSemana
3,Bike,12/15/2017,742,2017,12,Viernes
12,Hat,9/20/2017,766,2017,9,Miercoles
16,Pizza,10/21/2017,964,2017,10,Sabado
11,Gloves,8/29/2017,413,2017,8,Martes
12,Hat,4/14/2018,766,2018,4,Sabado
9,Computer,5/24/2018,8847,2018,5,Jueves
1,Bacon,10/25/2018,193,2018,10,Jueves
2,Ball,10/18/2017,778,2017,10,Miercoles
8,Chips,2/7/2019,442,2019,2,Jueves
9,Computer,7/19/2017,8847,2017,7,Miercoles
19,Shirt,10/29/2017,698,2017,10,Domingo
12,Hat,6/18/2017,766,2017,6,Domingo
20,Shoes,12/18/2018,824,2018,12,Martes
14,Mouse,7/7/2018,679,2018,7,Sabado
15,Pants,1/23/2019,678,2019,1,Miercoles
5,Chair,7/28/2017,529,2017,7,Viernes
11,Gloves,8/9/2017,413,2017,8,Miercoles
22,Table,3/18/2018,430,2018,3,Domingo
9,Computer,7/8/2018,8847,2018,7,Domingo
8,Chips,2/3/2018,442,2018,2,Sabado
22,Table,2/2/2018,430,2018,2,Viernes
8,Chips,11/18/2017,442,2017,11,Sabado
4,Car,1/12/2019,50,2019,1,Sabado
10,Fish,3/14/2018,587,2018,3,Miercoles
19,Shirt,8/6/2017,698,2017,8,Domingo
19,Shirt,1/13/2019,698,2019,1,Domingo
9,Computer,7/28/2018,8847,2018,7,Sabado
16,Pizza,3/18/2017,964,2017,3,Sabado
19,Shirt,3/17/2018,698,2018,3,Sabado
5,Chair,10/18/2018,529,2018,10,Jueves
19,Shirt,10/16/2018,698,2018,10,Martes
3,Bike,2/14/2018,742,2018,2,Miercoles
7,Chicken,4/28/2017,887,2017,4,Viernes
4,Car,1/30/2018,50,2018,1,Martes
21,Soap,11/19/2017,334,2017,11,Domingo
3,Bike,3/12/2018,742,2018,3,Lunes
13,Keyboard,1/14/2019,920,2019,1,Lunes
10,Fish,7/1/2018,587,2018,7,Domingo
17,Salad,4/15/2018,853,2018,4,Domingo
14,Mouse,11/4/2017,679,2017,11,Sabado
3,Bike,5/3/2018,742,2018,5,Jueves
23,Towels,1/18/2018,98,2018,1,Jueves
5,Chair,11/28/2018,529,2018,11,Miercoles
19,Shirt,3/16/2017,698,2017,3,Jueves
9,Computer,9/6/2017,8847,2017,9,Miercoles
20,Shoes,2/15/2018,824,2018,2,Jueves
6,Cheese,10/21/2017,252,2017,10,Sabado
8,Chips,9/22/2018,442,2018,9,Sabado
8,Chips,10/31/2017,442,2017,10,Martes
2,Ball,10/3/2018,778,2018,10,Miercoles
22,Table,1/2/2019,430,2019,1,Miercoles
1,Bacon,5/14/2017,193,2017,5,Domingo
4,Car,12/26/2017,50,2017,12,Martes
20,Shoes,8/10/2017,824,2017,8,Jueves
24,Tuna,9/6/2017,467,2017,9,Miercoles
14,Mouse,10/13/2017,679,2017,10,Viernes
13,Keyboard,7/10/2018,920,2018,7,Martes
6,Cheese,2/28/2018,252,2018,2,Miercoles
1,Bacon,8/16/2017,193,2017,8,Miercoles
24,Tuna,11/30/2018,467,2018,11,Viernes
3,Bike,7/3/2017,742,2017,7,Lunes
18,Sausages,2/24/2018,347,2018,2,Sabado
14,Mouse,2/25/2017,679,2017,2,Sabado
4,Car,8/13/2017,50,2017,8,Domingo
20,Shoes,6/4/2018,824,2018,6,Lunes
22,Table,8/27/2018,430,2018,8,Lunes
11,Gloves,8/7/2017,413,2017,8,Lunes
6,Cheese,12/17/2018,252,2018,12,Lunes
4,Car,4/28/2018,50,2018,4,Sabado
20,Shoes,7/11/2017,824,2017,7,Martes
12,Hat,3/19/2018,766,2018,3,Lunes
2,Ball,8/29/2018,778,2018,8,Miercoles
16,Pizza,10/27/2017,964,2017,10,Viernes
18,Sausages,8/24/2017,347,2017,8,Jueves
24,Tuna,3/20/2018,467,2018,3,Martes
7,Chicken,4/7/2018,887,2018,4,Sabado
24,Tuna,3/17/2018,467,2018,3,Sabado
13,Keyboard,8/23/2017,920,2017,8,Miercoles
17,Salad,5/6/2017,853,2017,5,Sabado
16,Pizza,12/8/2017,964,2017,12,Viernes
8,Chips,11/3/2018,442,2018,11,Sabado
6,Cheese,10/9/2018,252,2018,10,Martes
7,Chicken,2/24/2017,887,2017,2,Viernes
18,Sausages,9/10/2017,347,2017,9,Domingo
19,Shirt,1/25/2019,698,2019,1,Viernes
20,Shoes,5/16/2017,824,2017,5,Martes
3,Bike,7/13/2018,742,2018,7,Viernes
1,Bacon,6/4/2018,193,2018,6,Lunes
21,Soap,5/26/2018,334,2018,5,Sabado
10,Fish,2/15/2019,587,2019,2,Viernes
2,Ball,12/25/2017,778,2017,12,Lunes
19,Shirt,3/21/2017,698,2017,3,Martes
17,Salad,2/5/2018,853,2018,2,Lunes
6,Cheese,10/18/2017,252,2017,10,Miercoles
20,Shoes,11/4/2018,824,2018,11,Domingo
4,Car,3/4/2018,50,2018,3,Domingo
17,Salad,12/8/2017,853,2017,12,Viernes
13,Keyboard,5/25/2018,920,2018,5,Viernes
24,Tuna,6/4/2018,467,2018,6,Lunes
2,Ball,3/30/2018,778,2018,3,Viernes
14,Mouse,4/9/2018,679,2018,4,Lunes
8,Chips,6/7/2017,442,2017,6,Miercoles
14,Mouse,9/22/2018,679,2018,9,Sabado
20,Shoes,8/29/2017,824,2017,8,Martes
4,Car,9/6/2017,50,2017,9,Miercoles
20,Shoes,9/22/2018,824,2018,9,Sabado
20,Shoes,10/23/2017,824,2017,10,Lunes
22,Table,10/15/2017,430,2017,10,Domingo
7,Chicken,6/24/2017,887,2017,6,Sabado
23,Towels,11/22/2018,98,2018,11,Jueves
20,Shoes,12/27/2017,824,2017,12,Miercoles
15,Pants,5/30/2017,678,2017,5,Martes
20,Shoes,1/13/2018,824,2018,1,Sabado
2,Ball,12/31/2017,778,2017,12,Domingo
22,Table,1/12/2019,430,2019,1,Sabado
20,Shoes,4/27/2017,824,2017,4,Jueves
18,Sausages,2/17/2018,347,2018,2,Sabado
9,Computer,5/26/2017,8847,2017,5,Viernes
8,Chips,4/3/2017,442,2017,4,Lunes
11,Gloves,3/9/2017,413,2017,3,Jueves
5,Chair,6/26/2018,529,2018,6,Martes
23,Towels,1/20/2018,98,2018,1,Sabado
20,Shoes,1/28/2018,824,2018,1,Domingo
19,Shirt,2/12/2019,698,2019,2,Martes
9,Computer,10/30/2018,8847,2018,10,Martes
18,Sausages,3/20/2017,347,2017,3,Lunes
20,Shoes,3/23/2018,824,2018,3,Viernes
1,Bacon,11/17/2017,193,2017,11,Viernes
1,Bacon,1/27/2018,193,2018,1,Sabado
8,Chips,12/15/2017,442,2017,12,Viernes
11,Gloves,3/25/2017,413,2017,3,Sabado
20,Shoes,9/22/2017,824,2017,9,Viernes
17,Salad,5/19/2018,853,2018,5,Sabado
18,Sausages,12/1/2017,347,2017,12,Viernes
16,Pizza,9/30/2017,964,2017,9,Sabado
1,Bacon,1/31/2018,193,2018,1,Miercoles
17,Salad,5/10/2017,853,2017,5,Miercoles
13,Keyboard,3/30/2018,920,2018,3,Viernes
3,Bike,10/11/2018,742,2018,10,Jueves
13,Keyboard,9/23/2018,920,2018,9,Domingo
9,Computer,2/4/2019,8847,2019,2,Lunes
16,Pizza,10/10/2018,964,2018,10,Miercoles
10,Fish,12/8/2018,587,2018,12,Sabado
24,Tuna,8/28/2018,467,2018,8,Martes
3,Bike,2/1/2018,742,2018,2,Jueves
4,Car,2/23/2019,50,2019,2,Sabado
10,Fish,8/26/2017,587,2017,8,Sabado
4,Car,11/25/2017,50,2017,11,Sabado
3,Bike,4/24/2017,742,2017,4,Lunes
21,Soap,2/14/2019,334,2019,2,Jueves
1,Bacon,10/5/2017,193,2017,10,Jueves
3,Bike,12/18/2017,742,2017,12,Lunes
7,Chicken,5/18/2018,887,2018,5,Viernes
20,Shoes,12/8/2017,824,2017,12,Viernes
11,Gloves,4/25/2017,413,2017,4,Martes
6,Cheese,9/3/2018,252,2018,9,Lunes
8,Chips,7/6/2018,442,2018,7,Viernes
19,Shirt,4/12/2017,698,2017,4,Miercoles
5,Chair,4/4/2018,529,2018,4,Miercoles
23,Towels,12/16/2017,98,2017,12,Sabado
1,Bacon,4/16/2018,193,2018,4,Lunes
4,Car,1/5/2019,50,2019,1,Sabado
4,Car,2/4/2018,50,2018,2,Domingo
12,Hat,10/25/2018,766,2018,10,Jueves
12,Hat,1/24/2019,766,2019,1,Jueves
15,Pants,9/28/2018,678,2018,9,Viernes
24,Tuna,8/19/2018,467,2018,8,Domingo
8,Chips,11/23/2018,442,2018,11,Viernes
15,Pants,7/3/2017,678,2017,7,Lunes
20,Shoes,12/29/2017,824,2017,12,Viernes
18,Sausages,6/24/2018,347,2018,6,Domingo
11,Gloves,6/8/2018,413,2018,6,Viernes
2,Ball,9/22/2018,778,2018,9,Sabado
4,Car,5/3/2017,50,2017,5,Miercoles
13,Keyboard,6/12/2017,920,2017,6,Lunes
20,Shoes,5/1/2018,824,2018,5,Martes
3,Bike,7/14/2017,742,2017,7,Viernes
18,Sausages,6/30/2017,347,2017,6,Viernes
13,Keyboard,7/22/2018,920,2018,7,Domingo
13,Keyboard,2/5/2019,920,2019,2,Martes
14,Mouse,10/5/2017,679,2017,10,Jueves
1,Bacon,6/23/2018,193,2018,6,Sabado
7,Chicken,5/2/2017,887,2017,5,Martes
23,Towels,11/9/2017,98,2017,11,Jueves
23,Towels,12/9/2017,98,2017,12,Sabado
20,Shoes,8/4/2018,824,2018,8,Sabado
11,Gloves,6/5/2018,413,2018,6,Martes
3,Bike,6/20/2017,742,2017,6,Martes
14,Mouse,8/25/2017,679,2017,8,Viernes
2,Ball,11/1/2018,778,2018,11,Jueves
14,Mouse,12/14/2018,679,2018,12,Viernes
18,Sausages,11/4/2018,347,2018,11,Domingo
17,Salad,6/2/2018,853,2018,6,Sabado
21,Soap,6/5/2018,334,2018,6,Martes
12,Hat,8/8/2017,766,2017,8,Martes
21,Soap,5/8/2018,334,2018,5,Martes
23,Towels,6/14/2018,98,2018,6,Jueves
19,Shirt,1/11/2019,698,2019,1,Viernes
17,Salad,6/11/2018,853,2018,6,Lunes
18,Sausages,3/24/2018,347,2018,3,Sabado
15,Pants,2/2/2019,678,2019,2,Sabado
4,Car,7/6/2017,50,2017,7,Jueves
5,Chair,1/2/2019,529,2019,1,Miercoles
7,Chicken,2/26/2018,887,2018,2,Lunes
9,Computer,10/4/2017,8847,2017,10,Miercoles
11,Gloves,1/14/2018,413,2018,1,Domingo
1,Bacon,1/14/2019,193,2019,1,Lunes
3,Bike,5/11/2018,742,2018,5,Viernes
22,Table,9/24/2017,430,2017,9,Domingo
21,Soap,10/18/2017,334,2017,10,Miercoles
4,Car,5/27/2017,50,2017,5,Sabado
6,Cheese,1/10/2018,252,2018,1,Miercoles
10,Fish,9/29/2017,587,2017,9,Viernes
2,Ball,1/6/2019,778,2019,1,Domingo
6,Cheese,12/3/2017,252,2017,12,Domingo
19,Shirt,2/4/2019,698,2019,2,Lunes
6,Cheese,12/9/2017,252,2017,12,Sabado
1,Bacon,9/19/2017,193,2017,9,Martes
3,Bike,2/1/2018,742,2018,2,Jueves
10,Fish,3/12/2017,587,2017,3,Domingo
15,Pants,11/26/2017,678,2017,11,Domingo
9,Computer,8/30/2017,8847,2017,8,Miercoles
17,Salad,11/25/2017,853,2017,11,Sabado
2,Ball,3/5/2018,778,2018,3,Lunes
1,Bacon,1/10/2019,193,2019,1,Jueves
12,Hat,6/20/2017,766,2017,6,Martes
15,Pants,4/12/2018,678,2018,4,Jueves
1,Bacon,4/29/2018,193,2018,4,Domingo
7,Chicken,9/24/2018,887,2018,9,Lunes
1,Bacon,11/16/2017,193,2017,11,Jueves
5,Chair,5/22/2017,529,2017,5,Lunes
1,Bacon,12/9/2017,193,2017,12,Sabado
20,Shoes,3/21/2017,824,2017,3,Martes
19,Shirt,2/4/2019,698,2019,2,Lunes
24,Tuna,7/23/2017,467,2017,7,Domingo
19,Shirt,3/8/2018,698,2018,3,Jueves
12,Hat,7/25/2017,766,2017,7,Martes
21,Soap,10/10/2017,334,2017,10,Martes
6,Cheese,10/17/2017,252,2017,10,Martes
13,Keyboard,9/4/2018,920,2018,9,Martes
18,Sausages,5/9/2017,347,2017,5,Martes
22,Table,8/30/2017,430,2017,8,Miercoles
24,Tuna,8/20/2017,467,2017,8,Domingo
16,Pizza,2/23/2019,964,2019,2,Sabado
21,Soap,5/24/2017,334,2017,5,Miercoles
15,Pants,6/5/2017,678,2017,6,Lunes
22,Table,4/27/2018,430,2018,4,Viernes
5,Chair,5/15/2017,529,2017,5,Lunes
20,Shoes,7/18/2018,824,2018,7,Miercoles
16,Pizza,4/6/2017,964,2017,4,Jueves
13,Keyboard,11/16/2018,920,2018,11,Viernes
16,Pizza,10/8/2017,964,2017,10,Domingo
3,Bike,4/19/2018,742,2018,4,Jueves
10,Fish,2/22/2018,587,2018,2,Jueves
24,Tuna,7/12/2018,467,2018,7,Jueves
22,Table,8/22/2018,430,2018,8,Miercoles
23,Towels,5/27/2017,98,2017,5,Sabado
20,Shoes,12/3/2018,824,2018,12,Lunes
9,Computer,6/24/2018,8847,2018,6,Domingo
2,Ball,1/18/2018,778,2018,1,Jueves
10,Fish,10/15/2017,587,2017,10,Domingo
21,Soap,10/8/2017,334,2017,10,Domingo
6,Cheese,11/27/2017,252,2017,11,Lunes
21,Soap,9/18/2018,334,2018,9,Martes
10,Fish,4/1/2018,587,2018,4,Domingo
17,Salad,9/20/2018,853,2018,9,Jueves
5,Chair,12/18/2018,529,2018,12,Martes
4,Car,5/3/2018,50,2018,5,Jueves
8,Chips,3/28/2017,442,2017,3,Martes
23,Towels,9/26/2017,98,2017,9,Martes
22,Table,12/23/2017,430,2017,12,Sabado
6,Cheese,8/30/2018,252,2018,8,Jueves
14,Mouse,1/12/2018,679,2018,1,Viernes
9,Computer,8/23/2017,8847,2017,8,Miercoles
21,Soap,3/12/2018,334,2018,3,Lunes
22,Table,11/21/2017,430,2017,11,Martes
20,Shoes,1/9/2019,824,2019,1,Miercoles
13,Keyboard,9/9/2018,920,2018,9,Domingo
22,Table,2/3/2018,430,2018,2,Sabado
6,Cheese,11/15/2017,252,2017,11,Miercoles
11,Gloves,9/3/2017,413,2017,9,Domingo
1,Bacon,10/27/2018,193,2018,10,Sabado
7,Chicken,8/5/2018,887,2018,8,Domingo
22,Table,4/5/2017,430,2017,4,Miercoles
2,Ball,6/22/2017,778,2017,6,Jueves
9,Computer,5/19/2018,8847,2018,5,Sabado
24,Tuna,11/4/2018,467,2018,11,Domingo
11,Gloves,1/19/2019,413,2019,1,Sabado
4,Car,8/7/2017,50,2017,8,Lunes
15,Pants,10/10/2018,678,2018,10,Miercoles
3,Bike,7/2/2018,742,2018,7,Lunes
11,Gloves,3/11/2018,413,2018,3,Domingo
8,Chips,2/2/2019,442,2019,2,Sabado
5,Chair,2/26/2017,529,2017,2,Domingo
16,Pizza,12/16/2018,964,2018,12,Domingo
24,Tuna,7/24/2017,467,2017,7,Lunes
6,Cheese,1/5/2018,252,2018,1,Viernes
23,Towels,3/4/2018,98,2018,3,Domingo
8,Chips,9/24/2018,442,2018,9,Lunes
22,Table,3/2/2017,430,2017,3,Jueves
19,Shirt,2/1/2018,698,2018,2,Jueves
8,Chips,8/8/2017,442,2017,8,Martes
3,Bike,1/15/2018,742,2018,1,Lunes
3,Bike,8/15/2017,742,2017,8,Martes
21,Soap,11/22/2018,334,2018,11,Jueves
2,Ball,11/20/2018,778,2018,11,Martes
19,Shirt,3/21/2017,698,2017,3,Martes
7,Chicken,3/24/2017,887,2017,3,Viernes
8,Chips,11/4/2018,442,2018,11,Domingo
16,Pizza,3/30/2017,964,2017,3,Jueves
9,Computer,8/20/2017,8847,2017,8,Domingo
10,Fish,3/5/2018,587,2018,3,Lunes
6,Cheese,11/24/2017,252,2017,11,Viernes
8,Chips,11/29/2018,442,2018,11,Jueves
8,Chips,11/20/2017,442,2017,11,Lunes
5,Chair,3/16/2017,529,2017,3,Jueves
1,Bacon,10/28/2018,193,2018,10,Domingo
24,Tuna,6/24/2017,467,2017,6,Sabado
1,Bacon,9/19/2017,193,2017,9,Martes
8,Chips,10/15/2017,442,2017,10,Domingo
2,Ball,2/19/2019,778,2019,2,Martes
12,Hat,12/8/2017,766,2017,12,Viernes
17,Salad,8/27/2018,853,2018,8,Lunes
3,Bike,7/23/2017,742,2017,7,Domingo
24,Tuna,9/13/2018,467,2018,9,Jueves
4,Car,2/2/2018,50,2018,2,Viernes
20,Shoes,5/17/2017,824,2017,5,Miercoles
9,Computer,12/20/2017,8847,2017,12,Miercoles
17,Salad,3/23/2017,853,2017,3,Jueves
23,Towels,1/11/2019,98,2019,1,Viernes
3,Bike,7/5/2017,742,2017,7,Miercoles
19,Shirt,7/12/2017,698,2017,7,Miercoles
24,Tuna,8/20/2017,467,2017,8,Domingo
21,Soap,11/29/2018,334,2018,11,Jueves
15,Pants,3/26/2018,678,2018,3,Lunes
11,Gloves,9/11/2017,413,2017,9,Lunes
16,Pizza,3/23/2017,964,2017,3,Jueves
24,Tuna,8/8/2017,467,2017,8,Martes
4,Car,11/15/2017,50,2017,11,Miercoles
1,Bacon,9/4/2017,193,2017,9,Lunes
20,Shoes,7/11/2018,824,2018,7,Miercoles
6,Cheese,12/19/2017,252,2017,12,Martes
20,Shoes,2/21/2018,824,2018,2,Miercoles
16,Pizza,9/6/2018,964,2018,9,Jueves
2,Ball,12/31/2018,778,2018,12,Lunes
8,Chips,7/20/2017,442,2017,7,Jueves
10,Fish,12/18/2018,587,2018,12,Martes
5,Chair,1/9/2018,529,2018,1,Martes
6,Cheese,12/26/2018,252,2018,12,Miercoles
13,Keyboard,2/21/2019,920,2019,2,Jueves
11,Gloves,4/2/2017,413,2017,4,Domingo
16,Pizza,9/12/2018,964,2018,9,Miercoles
3,Bike,8/17/2018,742,2018,8,Viernes
24,Tuna,9/11/2017,467,2017,9,Lunes
11,Gloves,12/4/2018,413,2018,12,Martes
19,Shirt,3/2/2017,698,2017,3,Jueves
21,Soap,12/27/2018,334,2018,12,Jueves
15,Pants,7/11/2017,678,2017,7,Martes
6,Cheese,12/6/2018,252,2018,12,Jueves
8,Chips,3/7/2017,442,2017,3,Martes
7,Chicken,10/18/2017,887,2017,10,Miercoles
18,Sausages,6/15/2017,347,2017,6,Jueves
16,Pizza,3/3/2017,964,2017,3,Viernes
17,Salad,12/17/2018,853,2018,12,Lunes
17,Salad,7/1/2017,853,2017,7,Sabado
12,Hat,3/30/2017,766,2017,3,Jueves
20,Shoes,11/12/2017,824,2017,11,Domingo
16,Pizza,7/7/2017,964,2017,7,Viernes
6,Cheese,2/5/2019,252,2019,2,Martes
9,Computer,7/11/2018,8847,2018,7,Miercoles
4,Car,7/20/2017,50,2017,7,Jueves
15,Pants,9/14/2018,678,2018,9,Viernes
4,Car,2/6/2019,50,2019,2,Miercoles
1,Bacon,1/25/2019,193,2019,1,Viernes
1,Bacon,10/27/2018,193,2018,10,Sabado
14,Mouse,9/26/2017,679,2017,9,Martes
5,Chair,10/13/2017,529,2017,10,Viernes
18,Sausages,10/8/2018,347,2018,10,Lunes
9,Computer,4/10/2017,8847,2017,4,Lunes
10,Fish,6/12/2018,587,2018,6,Martes
16,Pizza,9/26/2017,964,2017,9,Martes
22,Table,1/16/2018,430,2018,1,Martes
1,Bacon,9/18/2017,193,2017,9,Lunes
14,Mouse,8/16/2018,679,2018,8,Jueves
6,Cheese,9/26/2018,252,2018,9,Miercoles
9,Computer,8/7/2017,8847,2017,8,Lunes
12,Hat,7/31/2018,766,2018,7,Martes
24,Tuna,1/10/2018,467,2018,1,Miercoles
18,Sausages,3/20/2017,347,2017,3,Lunes
17,Salad,1/22/2019,853,2019,1,Martes
23,Towels,3/8/2018,98,2018,3,Jueves
16,Pizza,10/18/2018,964,2018,10,Jueves
1,Bacon,9/11/2018,193,2018,9,Martes
17,Salad,4/2/2018,853,2018,4,Lunes
1,Bacon,2/25/2017,193,2017,2,Sabado
6,Cheese,12/4/2018,252,2018,12,Martes
7,Chicken,7/9/2018,887,2018,7,Lunes
6,Cheese,6/4/2017,252,2017,6,Domingo
16,Pizza,1/8/2018,964,2018,1,Lunes
3,Bike,7/5/2018,742,2018,7,Jueves
7,Chicken,8/17/2018,887,2018,8,Viernes
22,Table,1/31/2018,430,2018,1,Miercoles
18,Sausages,12/27/2018,347,2018,12,Jueves
12,Hat,3/7/2018,766,2018,3,Miercoles
24,Tuna,7/16/2017,467,2017,7,Domingo
18,Sausages,7/22/2018,347,2018,7,Domingo
3,Bike,2/9/2019,742,2019,2,Sabado
1,Bacon,8/24/2017,193,2017,8,Jueves
8,Chips,10/27/2017,442,2017,10,Viernes
4,Car,10/28/2017,50,2017,10,Sabado
23,Towels,4/13/2017,98,2017,4,Jueves
22,Table,4/29/2018,430,2018,4,Domingo
2,Ball,7/23/2018,778,2018,7,Lunes
2,Ball,4/20/2018,778,2018,4,Viernes
15,Pants,3/8/2018,678,2018,3,Jueves
13,Keyboard,7/19/2018,920,2018,7,Jueves
3,Bike,6/6/2018,742,2018,6,Miercoles
12,Hat,4/22/2018,766,2018,4,Domingo
5,Chair,12/28/2017,529,2017,12,Jueves
7,Chicken,1/13/2019,887,2019,1,Domingo
18,Sausages,12/13/2017,347,2017,12,Miercoles
17,Salad,7/7/2018,853,2018,7,Sabado
12,Hat,10/4/2018,766,2018,10,Jueves
23,Towels,3/15/2017,98,2017,3,Miercoles
16,Pizza,11/10/2018,964,2018,11,Sabado
5,Chair,6/9/2018,529,2018,6,Sabado
8,Chips,5/2/2017,442,2017,5,Martes
5,Chair,10/8/2018,529,2018,10,Lunes
18,Sausages,4/3/2018,347,2018,4,Martes
16,Pizza,11/1/2018,964,2018,11,Jueves
1,Bacon,11/2/2017,193,2017,11,Jueves
9,Computer,1/14/2019,8847,2019,1,Lunes
24,Tuna,1/28/2018,467,2018,1,Domingo
11,Gloves,4/26/2018,413,2018,4,Jueves
1,Bacon,12/7/2018,193,2018,12,Viernes
18,Sausages,1/8/2019,347,2019,1,Martes
23,Towels,11/8/2018,98,2018,11,Jueves
7,Chicken,5/3/2017,887,2017,5,Miercoles
20,Shoes,8/8/2017,824,2017,8,Martes
15,Pants,10/4/2018,678,2018,10,Jueves
4,Car,9/7/2017,50,2017,9,Jueves
18,Sausages,8/21/2018,347,2018,8,Martes
16,Pizza,11/23/2017,964,2017,11,Jueves
24,Tuna,2/9/2018,467,2018,2,Viernes
10,Fish,3/2/2018,587,2018,3,Viernes
9,Computer,1/3/2019,8847,2019,1,Jueves
21,Soap,11/29/2017,334,2017,11,Miercoles
16,Pizza,1/24/2019,964,2019,1,Jueves
15,Pants,4/14/2017,678,2017,4,Viernes
18,Sausages,1/9/2019,347,2019,1,Miercoles
23,Towels,10/11/2018,98,2018,10,Jueves
17,Salad,3/5/2017,853,2017,3,Domingo
2,Ball,11/9/2017,778,2017,11,Jueves
3,Bike,1/7/2019,742,2019,1,Lunes
23,Towels,6/13/2018,98,2018,6,Miercoles
10,Fish,4/25/2018,587,2018,4,Miercoles
8,Chips,3/29/2018,442,2018,3,Jueves
21,Soap,5/15/2017,334,2017,5,Lunes
23,Towels,3/15/2018,98,2018,3,Jueves
21,Soap,10/23/2018,334,2018,10,Martes
4,Car,12/11/2017,50,2017,12,Lunes
1,Bacon,8/16/2017,193,2017,8,Miercoles
22,Table,3/17/2018,430,2018,3,Sabado
22,Table,6/25/2017,430,2017,6,Domingo
23,Towels,12/16/2018,98,2018,12,Domingo
11,Gloves,6/30/2018,413,2018,6,Sabado
22,Table,8/16/2018,430,2018,8,Jueves
10,Fish,9/17/2017,587,2017,9,Domingo
11,Gloves,5/5/2017,413,2017,5,Viernes
7,Chicken,4/2/2018,887,2018,4,Lunes
11,Gloves,2/28/2018,413,2018,2,Miercoles
11,Gloves,2/15/2019,413,2019,2,Viernes
19,Shirt,9/9/2018,698,2018,9,Domingo
19,Shirt,11/15/2018,698,2018,11,Jueves
1,Bacon,9/5/2017,193,2017,9,Martes
21,Soap,10/10/2017,334,2017,10,Martes
